societe;email;telephone;
42TEA;lionel@42tea.io;0629242786
TECHFORM;info@techform.fr;05 61 00 77 00
TECHNEMA;pap@technema.fr;0172883000
TECHNODUAL;;
TECHNOLOGY AND STRATEGY IT;;03 90 00 79 20
TECHNOMADE;contact@technomade.com;05 56 02 71 47
TECHTEAM;contact@fr-techteam.com;04 72 22 35 03
TEHMS;contact@tehms.com;03 66 72 12 80
TELECOM VALLEY;contact@telecom-valley.fr;04 89 86 69 40
TeleSoft;pierre.bes@telesoft.fr;
TELIAE;info@teliae.fr;04 78 48 23 17
telitem;contact@telitem.com;
TELNET CONSULTING;info@telnet.com.tn;01 42 60 42 89
TEOLIA;contact@teolia.fr;
TEOS CYBERSECURITY;contact@teos-cybersecurity.com;0764 088 985
TERRACLEAN;contact@terraclean.fr;04 94 25 09 02
TESCOM FRANCE;tescom@tescom.fr;
TESSI;;04 76 70 59 10
TestLab;contact@testlab.fr;
THALES SERVICES SAS;info.3s@thalesgroup.com;01 73 32 00 00
THE BAR CORNER;contact@thebarcorner.com;0238698048
THE METRICS FACTORY;contact@themetricsfactory.com;09 54 02 79 01
THEFAMILY;welcome@thefamily.co;
THIS;contact@thisby.fr;
TIBCO;tibco@tibco.fr;02 40 32 28 00
TIMSPIRIT;contact@timspirit.fr;01 46 97 20 80
TIMYO;support@timyo.com;0685909656
TINKOO;admin@tinkoo.fr;
TINUBU SQUARE;commercial@tinubu.com;01 55 95 85 85
TIPTEL;info@tiptel.fr;0139446330
TJC;contact@tjc-group.com;04 91 95 56 56
TLTI;paris@tlti.net;01 45 89 08 94
TOOLS4EVER;frsales.idf@tools4ever.com;01 42 87 74 67
TOOLYNK;contact@toolynk.com;09 72 54 42 71
TOPLINK INNOVATION;contact@toplink-innovation.fr;04 94 10 72 57
TRACE ONE;marc.bonnamour@traceone.fr;01 56 90 24 24
TRAINED PEOPLE;contact@trainedpeople.com;01 46 94 69 32
Trampolinn;contact@trampolinn.com;
TRANSACTIS;;01 47 75 68 00
Transdev Group - Smarter Mobility;thierry.elkaim@transdev.fr;
Transmitio;contact@transmitio.com;09 72 48 54 86
TRANSVALOR SA;;04 92 92 42 00
TRAXXS;info@traxxs.fr;04 89 70 40 19
TREEPTIK;contact@treeptik.fr;04 42 61 28 55
Tribe IT Partners;contact@tribeitpartners.fr;
TRIBUTERRE;;
TRIDIMEO;contact@tridimeo.com;0633680787
triPica;mathieu.horn@tripica.com;
Tripnester;info@tripnester.com;
TRISKELL Consulting; contact@triskell-consutling.com;
TRSB;trsb@trsb.net;01 76 21 42 00
TVH CONSULTING;eric.boisneault@tvhconsulting.com;01 34 93 17 27
Twitter France;;01 42 61 56 08
TYDIG;contact@tydig.xyz;
U;contact@uchange.co;
U GIE IRIS;;02 28 22 10 00
U-NEED;l.de-andrade@u-need.fr;05 34 30 43 70
Ubi Transports;contact@ubitransports.com;03 73 27 50 05
UBIFLOW;contact@ubiflow.net;02 99 83 05 36
UBIK INGENIERIE;contact@ubik-ingenierie.com;0320914981
UBIQUICK;bcarpano@ubiquick.com;04 78 85 00 92
UC Group;contact@ucgroup.fr;
UCOPIA COMMUNICATIONS;contactus@ucopia.com;01 40 92 73 90
UDW;contact@udw.fr;02 85 37 96 58
ULLINK SAS;lu@ullink.com;01 49 95 30 00
UMANIS;marketing@groupeumanis.com;01 40 89 68 00
UNI LEARNING FRANCE;info-fr@uni-learning.com;01 41 96 96 70
UNIKLOUD;contact@unikloud.com;
UNILEARN;contact@unilearn.fr;01 57 19 19 19
UNILINK;info@unilink.fr;01 71 69 54 50
UnionUp;contact@unionup.fr;
UNIS SA;unis@unis.fr;03 20 05 56 13
UNIT4 BUSINESS SOFTWARE FRANCE;communication@agresso.fr;01 41 87 26 00
UNIVERSAL MEDICA;contact@universalmedica.com;01 41 12 27 77
Unowhy;contact@unowhy.com;
UPTILAB;contact@uptilab.com;01 77 75 54 15
URAEUS CONSULT;contact@uraeus-consult.com;04 93 95 52 10
URBILOG;info@urbilog.fr;03 28 55 21 30
USABILIS;contact@usabilis.com;09 81 60 07 05
UShareSoft SAS;contact@usharesoft.com;04 76 96 23 29
USTS;contact@usts.fr;
Utocat;contact@utocat.com;
VAELIA;adestouches@vaelia.fr;05 61 36 02 22
VAL SOFTWARE;courrier@valinformatique.fr;05 61 00 92 00
VALEUR RH;contact@valeur-rh.com;01 42 66 85 40
VALEURIAD;contact@valeuriad.fr;024043
VALLIS O.S.I;immos@immos-tm.com;04 90 15 11 43
VALUES ASSOCIATES;contact@values-associates.com;0147109501
VANKORE;info@vankore.com;09 53 35 20 27
VDN - Groupe Informatique;S_G@vdn.fr;01 72 74 55 15
VECSYS;contact@vecsys.fr;01 69 29 87 87
VEEAM SOFTWARE FRANCE SARL;;01 75 61 27 45
VEEZIO;contact@veez.io;0983064174
VENTILIS;contact@ventilis.fr;
VEOSOFT;jean-francois.butkiewicz@veonergie.com;01 78 53 37 66
Vermeg;ccure@vermeg.com;01 40 13 29 00
VERTECH';admin@vertech.fr;03 85 98 19 19
VIANEO;contact@vianeo.io;04 83 15 81 15
viavoo;contact@viavoo.com;01 75 60 19 00
VIF;contact@vif.fr;02 51 89 12 40
VIGIMILIA;;04 91 05 50 67
VINCILIA;contact@vincilia.fr;04 92 38 82 98
VIP CONCEPT;vip@vipconcept.fr;03 82 58 81 81
VIRTUAL EXPO;contact@virtual-expo.com;
VISIATIV;info@visiativ.com;04 78 87 29 29
Visioglobe;contact@visioglobe.com;
VISTEON SOFTWARE TECHNOLOGIES;dblasco@visteon.com;04 92 95 26 00
VITAL INFORMATIQUE;vital@groupe-vital.com;01 46 37 80 80
VIVERIS;chantal.roussey@viveris.fr;01 55 19 47 27
VIZION'R;contact@vizionr.fr;
vizzboard;fcuille@vizzboard.com;
vNext;;01 53 61 30 10
VO2 GROUP;contact@vo2-group.com;01 42 80 67 11
VOCAZA;info@wysuforms.com;04 32 44 83 40
VOGO;administratif@vogo.fr;04 67 50 03 98
VOLTALIS;contact@voltalis.com;01 53 89 13 20
VOLUME SOFTWARE;info@volume-software.com;02 47 66 47 20
VOLUNTIS;info@voluntis.com;01 41 38 39 20
VoR Immobilier;contact@vor-immobilier.fr;
Vu par ICI;info@octoprint.fr;
VULOG;info@vulog.com;04 92 91 01 21
W&G Conseil;pa.wanten@wgconseil.fr;
W2CM;alweistroff@w2cm.fr;
WakeOnWeb;s.faure@wakeonweb.com;
WALLIX;info@wallix.com;
WAVESTONE;solucom@solucom.fr;01 49 03 20 00
WAYKONECT;contact@waykonect.com;0366725620
waynote;contact@waynote.fr;
WCS EUROPE;sales@wcs-europe.com;+33183812880
We Guide;contact@weguide.fr;
WEBCOMPETENCE;info@webcompetence.com;01 43 60 15 90
WEBHELP SAS;eclerc@fr.webhelp.com;01 44 40 33 69
WEBNET DEVELOPPEMENT;info@webnet.fr;01 46 84 05 05
WEBSICO;contact@websico.com;
WEEBS;contact@we2bs.com;
Weenove;contact@weenove.fr;05 57 85 83 63
WELCOMETRACK;info@vigicolis.com;01 45 81 82 59
WELLFUNDR INVESTMENT;hello@wellfundr.com;01 79 72 40 50
Wever;;
WHOOG;;04 92 96 12 46
WHOZ.COM;contact@whoz.com;0608922829
Wi-System;contact@wi-system.com;08 05 69 08 24
Wildmoka;contact@wildmoka.com;04 89 70 40 13
WINEVEN;;
Winnzos;contact@winnzos.fr;
WIPRO TECHNOLOGIES;;01 46 93 95 95
WIRSEN MALES;contact@wirsenmales.com;06 27 30 57 45
WISTIKI;business@wistiki.com;00 33 6 62 21 09 33
Withings;;
WITIVIO;contact@witivio.com;0788755319
WITKEY;contact@witkey.fr;01 46 30 73 21
WIZAPLACE;administratif@wizacha.com;04 78 21 89 55
Wizbii SAS;maeva.touron@wizbii.com;
wizeoo;contact@wizeoo.fr;03 20 56 01 94
WOOXO;info@wooxo.fr;08 11 14 01 60
WORKIT;contact@workit.fr;01 43 03 14 78
WRAPTOR;sales@wraptor.fr;04 42 70 38 15
WSB AGENCY;;05 57 35 30 62
WYPLAY;info@wyplay.com;04 91 45 71 80
XBRAIN;contact@xbrain.io;
XC75 CONSULTING;paj@xc75consulting.fr;0676601986
Xelya;;01 74 71 48 00
XpanS;contact@x-pans.com;
XPERIZ STRATÉGIE;contact@xperiz.com;0676018700
XTREEE;info@xtreee.com;0680455412
XWIKI;contact@xwiki.com;01 45 42 40 90
XYRIC;INFOS@XYRIC.COM;0380739910
YAGAN;team@willty.com;0664043442
YANTRA TECHNOLOGIES;contact@yantra-technologies.com;
YLNEO;contact@ylneo.com;
YMAG;info@ymag.fr;03 80 78 99 00
YOGOSHA;contact@yogosha.com;
YOODA;administratif@yooda.com;046715549
YOURS;contact@yours-conseil.com;
YOUSIGN;;09 87 67 95 18
Youwine;;
Ysance;charlotte.letourmy@ysance.com;01 43 36 23 17
YULPA;syntec-numerique@yulpa.io;0182831166
Yumaneed;contact@yumaneed.com;
Zart Big Data;zart.bigdata@zart.io;
zCOST MANAGEMENT;;
ZELOG;info@zelog.fr;06 12 10 23 99
zemust;gestion@zemust.fr;
ZEN'TO;contact@zento.fr;01 80 88 49 00
ZENGULARITY;contact@zengularity.com;01 75 57 89 39
ZENIKA;info@zenika.com;01 45 26 19 15
ZENMOOV;jps@zenmoov.com;0695034799
ZERIODES;ymt@zeriodes.com;0629868790
zettafox;matallah@zettafox.com;
Zuora;;
ZYXEL;;
